Formula,InChI
HCNS,InChI=1S/CHNS/c1-2-3/h1H
HCNS+,
HCO2+,"InChI=1S/CHO2/c2-1-3/h(H,2,3)/q+1"
HDCO,InChI=1S/CH2O/c1-2/h1H2/i1D
HN2O+,InChI=1S/N2O/c1-2-3/p+1
HNCO+,InChI=1S/CHNO/c2-1-3/h2H/q+1
HNCS,InChI=1S/CHNS/c2-1-3/h2H
HNCS+,InChI=1S/CHNS/c2-1-3/h2H/q+1
HOCN,InChI=1S/CHNO/c2-1-3/h3H
HOCN+,InChI=1S/CHNO/c2-1-3/h3H/q+1
HOCS+,"InChI=1S/CHOS/c2-1-3/h(H,2,3)/q+1"
HONC,InChI=1S/CHNO/c1-2-3/h3H
HONC+,InChI=1S/CHNO/c1-2-3/h3H/q+1
HSCN,InChI=1S/CHNS/c2-1-3/h3H
HSCN+,
HSiO2+,InChI=1S/HO2Si/c1-3-2/h3H/q+1
HSO2+,InChI=1S/O2S/c1-3-2/p+1
H2C2S+,
H2C3,InChI=1S/C3H2/c1-3-2/h1H2
H2C3+,InChI=1S/C3H2/c1-3-2/h1H2/q+1
H2CCS,InChI=1S/C2H2S/c1-2-3/h1H2
H2CNO+,
H2CNS+,
H2CSH+,InChI=1S/CH3S/c1-2/h1H3/q+1
H2NCO+,
H2NCS+,
H2OCN+,
H2SCN+,
H3CO+,"InChI=1S/CH3O/c1-2/h2H,1H2/q+1"
H3S2+,InChI=1S/H2S2/c1-2/h1-2H/p+1
H3SiO+,InChI=1S/H3OSi/c1-2/h2H3/q+1
HC2N2,
HC2NC,InChI=1S/C3HN/c1-3-4-2/h1H
HC3N,InChI=1S/C3HN/c1-2-3-4/h1H
HC3O,1S/C3HO/c1-2-3-4/h1H
HC3O+,InChI=1S/C3HO/c1-2-3-4/h1H/q+1
HC3S,
HC3S+,InChI=1S/C3HS/c1-2-3-4/h1H/q+1
